anio;num_mes;departamento;provincia;distrito;sector;area;categoria;descripcion;cantidad;fecha_data;;;;;;
2020;01;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);48;27/06/2025;;;;;;
2020;02;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);38;27/06/2025;;;;;;
2020;03;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);66;27/06/2025;;;;;;
2020;04;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);58;27/06/2025;;;;;;
2020;05;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);49;27/06/2025;;;;;;
2020;06;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);35;27/06/2025;;;;;;
2020;07;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);43;27/06/2025;;;;;;
2020;08;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);42;27/06/2025;;;;;;
2020;09;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);41;27/06/2025;;;;;;
2020;10;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);50;27/06/2025;;;;;;
2020;11;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);52;27/06/2025;;;;;;
2020;12;Lambayeque;Chiclayo;Chiclayo;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);33;27/06/2025;;;;;;
2020;01;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);18;27/06/2025;;;;;;
2020;02;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);20;27/06/2025;;;;;;
2020;03;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);24;27/06/2025;;;;;;
2020;04;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);35;27/06/2025;;;;;;
2020;05;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);19;27/06/2025;;;;;;
2020;06;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);16;27/06/2025;;;;;;
2020;07;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);12;27/06/2025;;;;;;
2020;08;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);19;27/06/2025;;;;;;
2020;09;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);22;27/06/2025;;;;;;
2020;10;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);12;27/06/2025;;;;;;
2020;11;Lambayeque;Chiclayo;La Victoria;MINSA;urbano;I-3;Centro de salud con mayor capacidad (médico y laboratorio básico);14;27/06/2025;;;;;;
